cell,cond1.max_spikes,cond1.mean_spikes,cond1.nstim,cond1.nstim95,cond1.nullrate,cond2.max_spikes,cond2.mean_spikes,cond2.nstim,cond2.nstim95,cond2.nullrate
5,18,7.9625,16,15,0.0,26,12.375,16,15,0.0125
8,12,1.1375,16,4,0.775,28,4.825,16,8,0.4625
14,4,0.65,16,15,0.5375,10,3.8875,16,15,0.125
15,7,1.4875,16,14,0.2375,21,9.0,16,15,0.0
16,8,1.2125,16,12,0.4375,18,4.65,16,14,0.1125
19,12,2.72666666667,15,14,0.106666666667,25,8.02,15,13,0.02
20,11,1.37333333333,15,6,0.666666666667,33,5.57333333333,15,9,0.346666666667
32,14,1.5375,16,9,0.4375,19,6.6625,16,13,0.15
33,4,0.95,16,9,0.4875,23,8.1625,16,14,0.0125
35,21,2.95625,16,8,0.54375,18,5.73125,16,9,0.34375
39,12,1.25,16,8,0.71875,25,3.38125,16,12,0.58125
40,5,0.4875,16,4,0.8125,13,2.21875,16,9,0.675
42,1,0.0625,16,3,0.9375,51,7.1,16,13,0.1
44,3,0.183333333333,16,13,0.872916666667,15,1.06666666667,16,14,0.679166666667
45,4,0.245833333333,16,8,0.822916666667,10,2.40208333333,16,13,0.327083333333
48,10,0.445833333333,16,13,0.79375,15,0.947916666667,16,12,0.654166666667
49,4,0.135416666667,16,2,0.90625,6,0.441666666667,16,3,0.825
50,9,1.47708333333,16,11,0.364583333333,9,1.82291666667,16,12,0.260416666667
51,67,2.95833333333,16,14,0.05,60,10.6708333333,16,12,0.0479166666667
52,26,1.39166666667,30,14,0.665833333333,26,1.735,30,9,0.670833333333
53,7,0.395833333333,12,10,0.7875,9,0.5875,12,10,0.766666666667
54,9,0.245588235294,17,10,0.892647058824,10,0.264705882353,17,11,0.883823529412
55,17,2.71964285714,14,13,0.183928571429,17,5.66964285714,14,13,0.0785714285714
56,19,0.75,14,3,0.826785714286,25,0.546428571429,14,6,0.7875
57,28,5.73035714286,14,11,0.126785714286,24,7.44107142857,14,12,0.0839285714286
58,10,4.13571428571,14,13,0.0,11,4.60357142857,14,13,0.0
